"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene"
45.1398134196617	3.84116148405995	0.529077114832109	7.26011648657087	3.86757110263949e-13	3.44561909534152e-09	"gene-mxa_ChrAur1"
157.558959842604	2.66178547953081	0.389779357135998	6.82895446051569	8.55357191605678e-12	1.94299562151614e-08	"gene-LOC119024304"
11.107092003752	4.59272382306565	0.672774841670304	6.82653919053104	8.69875398031731e-12	1.94299562151614e-08	"gene-socs1a"
368.115593017383	1.79749723752614	0.264570265182012	6.79402591326559	1.09046785358409e-11	1.94299562151614e-08	"gene-stat1a"
472.675052466384	-1.42128409256403	0.208319091018875	-6.82263006051254	8.93886369748292e-12	1.94299562151614e-08	"gene-wipf2b_ChrAur1"
205.539576058254	-30	4.4758394829629	-6.70265323727399	2.04668760058062e-11	3.03898997226212e-08	"gene-g15164"
70.0125194922218	2.96979367128125	0.449101643778725	6.61274282207813	3.77263558127112e-11	4.20130129919305e-08	"gene-g15462"
431.983617073096	-1.19957686530187	0.18130041112797	-6.61651486523745	3.6776590849977e-11	4.20130129919305e-08	"gene-kpna6"
192.669399126326	-22.9410009221696	3.49967412165337	-6.55518203258636	5.55740435284652e-11	5.50121281994552e-08	"gene-grxcr1a"
395.214474862278	-2.2323420295263	0.350650773798396	-6.36628291261027	1.93664074763499e-10	1.72535324206801e-07	"gene-g13435"
360.874629261973	-1.68055637282863	0.266672522910986	-6.30194800155543	2.93927785489605e-10	2.38054785538809e-07	"gene-g12284"
387.099959173625	-1.16639061907773	0.190966005108877	-6.10784426480892	1.00985817607194e-09	7.4973554088541e-07	"gene-lrsam1"
471.774860368407	-1.82607541282957	0.300176083155266	-6.08334745938114	1.17698895324620e-09	7.70313040460203e-07	"gene-erp44"
53.8233435177416	2.70318395833796	0.444687016073765	6.07884615612334	1.21050427280759e-09	7.70313040460203e-07	"gene-g1525"
40.4893637827974	3.76418342737262	0.623325246075021	6.03887529195244	1.55192123904837e-09	9.21737754578795e-07	"gene-LOC119024305"
55.4250781508123	2.09222370159946	0.347214220513903	6.02574312337442	1.68334361837932e-09	9.37306768508833e-07	"gene-sarm1"
20.3390865965736	3.19205599640438	0.534685850567991	5.96996534135604	2.37303992226588e-09	1.17452292597037e-06	"gene-LOC119027174"
109.072666194506	2.1312119817433	0.356437406051828	5.9792040497383	2.24230538673563e-09	1.17452292597037e-06	"gene-si:ch211-168f7.5"
972.213877357342	-1.25966491311978	0.211581080893164	-5.95358010178537	2.62339363607582e-09	1.20033927896153e-06	"gene-g12014"
